age,breachtot,freq
18,0,0.017825312
19,0,0.003565062
20,0,0.008912656
21,0,0.001782531
22,0,0.007130125
23,0,0.007130125
24,0,0.01426025
25,0,0.010695187
26,0,0.003565062
27,0,0.010695187
28,0,0.005347594
29,0,0.005347594
30,0,0.001782531
31,0,0.003565062
32,0,0.008912656
33,0,0.003565062
34,0,0.003565062
35,0,0
36,0,0.003565062
37,0,0.008912656
38,0,0
39,0,0.005347594
40,0,0.001782531
41,0,0.001782531
42,0,0.005347594
43,0,0
44,0,0.003565062
45,0,0.001782531
46,0,0
47,0,0.003565062
48,0,0.005347594
49,0,0.001782531
50,0,0.008912656
51,0,0.001782531
52,0,0.007130125
53,0,0.003565062
54,0,0.001782531
55,0,0.005347594
56,0,0.001782531
57,0,0.001782531
58,0,0.001782531
59,0,0.007130125
60,0,0.003565062
61,0,0.001782531
62,0,0.005347594
63,0,0
64,0,0.001782531
65,0,0.005347594
66,0,0
67,0,0.001782531
68,0,0.001782531
69,0,0.001782531
70,0,0.003565062
71,0,0.001782531
72,0,0.001782531
73,0,0.003565062
74,0,0
75,0,0.001782531
76,0,0.001782531
77,0,0
79,0,0
80,0,0
81,0,0
83,0,0.001782531
87,0,0
90,0,0
99,0,0.001782531
18,1,0
19,1,0.001782531
20,1,0.005347594
21,1,0.003565062
22,1,0.008912656
23,1,0.003565062
24,1,0.003565062
25,1,0.001782531
26,1,0.001782531
27,1,0
28,1,0.003565062
29,1,0.005347594
30,1,0.007130125
31,1,0.005347594
32,1,0.008912656
33,1,0.001782531
34,1,0.001782531
35,1,0.001782531
36,1,0.001782531
37,1,0.003565062
38,1,0.007130125
39,1,0.010695187
40,1,0.001782531
41,1,0.001782531
42,1,0
43,1,0.003565062
44,1,0.005347594
45,1,0.007130125
46,1,0.001782531
47,1,0.003565062
48,1,0.005347594
49,1,0.001782531
50,1,0.008912656
51,1,0.003565062
52,1,0.008912656
53,1,0.005347594
54,1,0.003565062
55,1,0.005347594
56,1,0.005347594
57,1,0.003565062
58,1,0.010695187
59,1,0
60,1,0
61,1,0.001782531
62,1,0.003565062
63,1,0.003565062
64,1,0.003565062
65,1,0.005347594
66,1,0
67,1,0.001782531
68,1,0
69,1,0.005347594
70,1,0.001782531
71,1,0.001782531
72,1,0.007130125
73,1,0.003565062
74,1,0.001782531
75,1,0
76,1,0.003565062
77,1,0.001782531
79,1,0.001782531
80,1,0.001782531
